ticket_id,ticket_channel,ticket_priority,product,customer_segment,first_response_time_hours,resolution_time_hours,csat_score,custom_sla_status,resolution_bucket
10822,Chat,High,API Service,Corporate,22.85,94.04,1,Breached SLA (>48h),Over 48 Hours
61890,Chat,Urgent,API Service,Individual,47.96,157.35,1,Breached SLA (>48h),Over 48 Hours
123316,Web Form,Medium,API Service,Small Business,24.86,93.4,1,Breached SLA (>48h),Over 48 Hours
12432,Email,Low,API Service,Corporate,64.31,5.07,1,Met SLA (<48h),Same Day Resolution
17236,Chat,Low,API Service,Corporate,29.94,236.95,1,Breached SLA (>48h),Over 48 Hours
81909,Social Media,Low,API Service,Small Business,24.91,188.41,1,Breached SLA (>48h),Over 48 Hours
171063,Phone,High,API Service,Corporate,47.29,27.37,1,Met SLA (<48h),48 Hour Resolution
67037,Social Media,Low,API Service,Corporate,53.44,76.04,1,Breached SLA (>48h),Over 48 Hours
82379,Web Form,High,API Service,Corporate,17.63,183.04,1,Breached SLA (>48h),Over 48 Hours
40583,Web Form,High,API Service,Individual,1.24,113.67,1,Breached SLA (>48h),Over 48 Hours
192187,Phone,Low,API Service,Corporate,24.05,84.03,1,Breached SLA (>48h),Over 48 Hours
64712,Social Media,Urgent,API Service,Individual,53.19,78.57,1,Breached SLA (>48h),Over 48 Hours
14931,Web Form,Medium,API Service,Small Business,5.84,25.06,1,Met SLA (<48h),48 Hour Resolution
128687,Chat,Urgent,API Service,Corporate,20.5,220.8,1,Breached SLA (>48h),Over 48 Hours
162824,Phone,Low,API Service,Corporate,52.99,134.89,1,Breached SLA (>48h),Over 48 Hours
76171,Email,Low,API Service,Individual,31.09,98.23,1,Breached SLA (>48h),Over 48 Hours
94967,Web Form,High,API Service,Corporate,68.49,142.25,1,Breached SLA (>48h),Over 48 Hours
178889,Phone,High,API Service,Small Business,71.15,108.91,1,Breached SLA (>48h),Over 48 Hours
104917,Social Media,Urgent,API Service,Individual,23.6,42.23,1,Met SLA (<48h),48 Hour Resolution
84108,Social Media,High,API Service,Small Business,40.39,141.44,1,Breached SLA (>48h),Over 48 Hours
130875,Email,Medium,API Service,Individual,47.84,149.53,1,Breached SLA (>48h),Over 48 Hours
64575,Web Form,Medium,API Service,Corporate,56.33,194.11,1,Breached SLA (>48h),Over 48 Hours
60817,Phone,High,API Service,Individual,43.78,204.73,1,Breached SLA (>48h),Over 48 Hours
131583,Email,Urgent,API Service,Corporate,49.21,93.92,1,Breached SLA (>48h),Over 48 Hours
137217,Chat,Medium,API Service,Corporate,53.14,102.34,1,Breached SLA (>48h),Over 48 Hours
116398,Email,High,API Service,Individual,57.23,130.45,1,Breached SLA (>48h),Over 48 Hours
88840,Chat,Medium,API Service,Individual,4.44,24.98,1,Met SLA (<48h),48 Hour Resolution
6421,Email,High,API Service,Corporate,13.39,227.7,1,Breached SLA (>48h),Over 48 Hours
44771,Social Media,Low,API Service,Small Business,6.68,119.45,1,Breached SLA (>48h),Over 48 Hours
113560,Chat,Medium,API Service,Individual,4.52,132.06,1,Breached SLA (>48h),Over 48 Hours
125160,Email,Medium,API Service,Individual,63.25,211.75,1,Breached SLA (>48h),Over 48 Hours
55582,Chat,Low,API Service,Individual,12.67,9.82,1,Met SLA (<48h),Same Day Resolution
60371,Phone,Medium,API Service,Small Business,27.27,33.35,1,Met SLA (<48h),48 Hour Resolution
35921,Phone,Low,API Service,Individual,56.95,83.63,1,Breached SLA (>48h),Over 48 Hours
140820,Phone,Urgent,API Service,Corporate,27.47,173.64,1,Breached SLA (>48h),Over 48 Hours
153877,Social Media,Medium,API Service,Small Business,58.79,173.59,1,Breached SLA (>48h),Over 48 Hours
162798,Phone,Low,API Service,Individual,63.89,91.38,1,Breached SLA (>48h),Over 48 Hours
198864,Social Media,Urgent,API Service,Individual,70.65,63.23,1,Breached SLA (>48h),Over 48 Hours
41151,Email,High,API Service,Individual,44.9,95.06,1,Breached SLA (>48h),Over 48 Hours
100814,Phone,Low,API Service,Small Business,17.84,13.03,1,Met SLA (<48h),24 Hour Resolution
60707,Email,Urgent,API Service,Corporate,54.3,117.69,1,Breached SLA (>48h),Over 48 Hours
190533,Email,Urgent,API Service,Individual,25.73,230.27,1,Breached SLA (>48h),Over 48 Hours
23187,Email,High,API Service,Corporate,2.17,45.91,1,Met SLA (<48h),48 Hour Resolution
51860,Chat,Medium,API Service,Corporate,12.37,67.39,1,Breached SLA (>48h),Over 48 Hours
184899,Chat,High,API Service,Corporate,61.1,153.94,1,Breached SLA (>48h),Over 48 Hours
187234,Web Form,Medium,API Service,Corporate,68.69,99.22,1,Breached SLA (>48h),Over 48 Hours
89925,Phone,Low,API Service,Corporate,5.21,116.62,1,Breached SLA (>48h),Over 48 Hours
106873,Chat,Medium,API Service,Individual,38.3,106.24,1,Breached SLA (>48h),Over 48 Hours
63632,Email,High,API Service,Individual,43.07,108.5,1,Breached SLA (>48h),Over 48 Hours
102495,Chat,Medium,API Service,Individual,71.22,194.32,1,Breached SLA (>48h),Over 48 Hours
43024,Social Media,Low,API Service,Individual,37.42,157.53,1,Breached SLA (>48h),Over 48 Hours
150908,Web Form,Low,API Service,Individual,9.78,149.52,1,Breached SLA (>48h),Over 48 Hours
16406,Chat,Low,API Service,Individual,70.81,146.74,1,Breached SLA (>48h),Over 48 Hours
50245,Social Media,Low,API Service,Small Business,4.9,211.79,1,Breached SLA (>48h),Over 48 Hours
65363,Social Media,Urgent,API Service,Individual,37.7,157.49,1,Breached SLA (>48h),Over 48 Hours
79592,Phone,Medium,API Service,Small Business,22.31,114.57,1,Breached SLA (>48h),Over 48 Hours
155519,Phone,Urgent,API Service,Small Business,35.84,204.85,1,Breached SLA (>48h),Over 48 Hours
56561,Chat,Urgent,API Service,Corporate,50.75,77.1,1,Breached SLA (>48h),Over 48 Hours
62487,Chat,Low,API Service,Corporate,28.67,53.0,1,Breached SLA (>48h),Over 48 Hours
109521,Social Media,High,API Service,Corporate,17.25,234.76,1,Breached SLA (>48h),Over 48 Hours
188534,Email,Urgent,API Service,Small Business,67.48,152.23,1,Breached SLA (>48h),Over 48 Hours
15841,Phone,Medium,API Service,Individual,56.46,68.1,1,Breached SLA (>48h),Over 48 Hours
71538,Phone,Urgent,API Service,Small Business,60.45,160.2,1,Breached SLA (>48h),Over 48 Hours
125756,Social Media,Medium,API Service,Small Business,17.26,99.87,1,Breached SLA (>48h),Over 48 Hours
171695,Phone,Low,API Service,Corporate,57.34,55.71,1,Breached SLA (>48h),Over 48 Hours
150295,Email,Medium,API Service,Corporate,35.96,62.74,1,Breached SLA (>48h),Over 48 Hours
